tag,patterns,responses,
comparison operator in python ,what are the comparison operators in python?,"These operators compare the values on either sides of them and decide the relation among them.. Eg:==,!=,>,<,>=,<=",
comparison operator in python ,what are the comparison operators in python?,"Comparison operators are used to compare two values. Eg:==,!=,>,<,>=,<=",
logical operator in python,explain logical operators in python,"Logical operators are used to combine conditional statements. Logical opeartors are: AND, OR, NOT",
logical operator in python,what are the logical operators in python?,"In Python, Logical operators are used on conditional statements (either True or False). They perform Logical AND, Logical OR and Logical NOT operations.",
logical operator in python, logical operators in python,"Logical Operators in Python are used to perform logical operations on the values of variables. The value is either true or false. We can figure out the conditions by the result of the truth values. There are mainly three types of logical operators in python : logical AND, logical OR and logical NOT. ",
while loop in python,While loop in python,"In Python, While Loops is used to execute a block of statements repeatedly until a given condition is satisfied. And when the condition becomes false, the line immediately after the loop in the program is executed. While loop falls under the category of indefinite iteration. Syntax:while expression:
    statement(s)
",
while loop in python,Explain while loop in python,"A ""While"" Loop is used to repeat a specific block of code an unknown number of times, until a condition is met. For example, if we want to ask a user for a number between 1 and 10, we don't know how many times the user may enter a larger number, so we keep asking ""while the number is not between 1 and 10"". syntax: while expression:
    statement(s)",
while loop in python,while loop syntax in python,"The while loop in Python is used to iterate over a block of code as long as the test expression (condition) is true. Syntax for while loop in python:while test_expression:
    Body of while",
Internal math function in python,what are the internal math functions in python,"The Python interpreter has a number of functions and types built into it that are always available. Built in python math functions are: abs(),min(), max(),round(),pow()",
Internal math function in python,Whate are the built in math functions in python.,"The Python interpreter has a number of functions and types built into it that are always available. Built in python math functions are: abs(),min(), max(),round(),pow()",
Internal math function in python,Build-in math functions in python,"The Python interpreter has a number of functions and types built into it that are always available. Built in python math functions are: abs(),min(), max(),round(),pow()",
Random module in python,What is a random module in python,"The random module is a built-in module to generate the pseudo-random variables. It can be used perform some action randomly such as to get a random number, selecting a random elements from a list, shuffle elements randomly, etc. syntax: import random",
Random module in python,Random module in python,"Python defines a set of functions that are used to generate or manipulate random numbers through the random module. Functions in the random module rely on a pseudo-random number generator function random(), which generates a random float number between 0.0 and 1.0. These particular type of functions is used in a lot of games, lotteries, or any application requiring a random number generation.",
Random module in python,What is the use of random module in python,"You can generate random numbers in Python by using random module.These are pseudo-random number as the sequence of number generated depends on the seed. If the seeding value is same, the sequence will be the same.Syntax: import random",
if else loop in python,Explain if else loop in python,"The if statement alone tells us that if a condition is true it will execute a block of statements and if the condition is false it won’t. But what if we want to do something else if the condition is false. Here comes the else statement. We can use the else statement with if statement to execute a block of code when the condition is false.Syntax of if statement: if (condition):
    # Executes this block if
    # condition is true
else:
    # Executes this block if
    # condition is false",
if else loop in python,if else loop in python,"The if..else statement evaluates test expression and will execute the body of if only when the test condition is True . If the condition is False , the body of else is executed. Indentation is used to separate the blocks.Syntax of if statement: if (condition):
    # Executes this block if
    # condition is true
else:
    # Executes this block if
    # condition is false",
if else loop in python,if else statemnet in python,"An if else Python statement evaluates whether an expression is true or false. If a condition is true, the “if” statement executes. Otherwise, the “else” statement executes. Python if else statements help coders control the flow of their programs.Syntax of if statement: if (condition):
    # Executes this block if
    # condition is true
else:
    # Executes this block if
    # condition is false",
object oriented programming in python,Is python an object oriented programming language,"Python is a great programming language that supports OOP.Object-oriented programming is a programming paradigm based on the concept of ""objects"", which can contain data and code: data in the form of fields, and code, in the form of procedures.Major principles of object-oriented programming system are given below: Class,Object,Method,Inheritance,Polymorphism,Data Abstraction,Encapsulation",
object oriented programming in python,python oop's concepts,"Python is also an object-oriented language since its beginning. It allows us to develop applications using an Object-Oriented approach. In Python, we can easily create and use classes and objects.The oops concept focuses on writing the reusable code.Major principles of object-oriented programming system are given below: Class,Object,Method,Inheritance,Polymorphism,Data Abstraction,Encapsulation",
object oriented programming in python,object oriented programming concepts in python,"Object-oriented programming (OOP) is a programming paradigm based on the concept of ""objects"", which can contain data and code: data in the form of fields (often known as attributes or properties), and code, in the form of procedures (often known as methods).Major principles of object-oriented programming system are given below: Class,Object,Method,Inheritance,Polymorphism,Data Abstraction,Encapsulation",
class in python,What is a class in python?,"A Class is like an object constructor, or a ""blueprint"" for creating objects.To create a class, use the keyword class. Syntax: class MyClass:
 ",
class in python,Define class in python?,"The class can be defined as a collection of objects. It is a logical entity that has some specific attributes and methods. For example: if you have an employee class, then it should contain an attribute and method, i.e. an email id, name, age, salary, etc.",
class in python,class in python,"A Class is like an object constructor, or a ""blueprint"" for creating objects.To create a class, use the keyword class. Syntax: class MyClass:
 ",
objects in python,What are objects in python?,"The object is an entity that has state and behavior. It may be any real-world object like the mouse, keyboard, chair, table, pen, etc.",
objects in python,objects in python,A unique instance of a data structure that is defined by its class. An object comprises both data members (class variables and instance variables) and methods.,
objects in python,objects in python programming language,A unique instance of a data structure that's defined by its class. An object comprises both data members (class variables and instance variables) and methods.,
Inheritance in python,What is inheritance in python?,"Inheritance allows us to define a class that inherits all the methods and properties from another class.Parent class is the class being inherited from, also called base class.Child class is the class that inherits from another class, also called derived class.
",
Inheritance in python,Inheritance in python,"Inheritance is the capability of one class to derive or inherit the properties from another class. Where parent class is the class being inherited from, also called base class and child class is the class that inherits from another class, also called derived class.",
Inheritance in python,Inheritance in python programming language,Inheritance is a powerful feature in object oriented programming. It refers to defining a new class with little or no modification to an existing class. The new class is called derived (or child) class and the one from which it inherits is called the base (or parent) class.,
Ploymorphism in python,What is polymorphism,"The word polymorphism means having many forms. In programming, polymorphism means same function name (but different signatures) being uses for different types.",
Ploymorphism in python,polymorphism in python,Polymorphism means multiple forms. In python we can find the same operator or function taking multiple forms. It also useful in creating different classes which will have class methods with same name. That helps in re using a lot of code and decreases code complexity.,
Ploymorphism in python,polymorphism in python programming language,Polymorphism in python is used for a common function name that can be used for different types. Polymorphism in python is used for a common function name that can be used for different types. This concept is widely applied in object-oriented based python programming.,
Datetime module in python,Explain dates in python,"A date in Python is not a data type of its own, but we can import a module named datetime to work with dates as date objects. Syntax to import datetime module in python: import datetime",
Datetime module in python,Python datetime module,"The datetime module supplies classes for manipulating dates and times.In Python, date and time are not a data type of its own, but a module named datetime can be imported to work with the date as well as time.Syntax to import datetime module in python: import datetime",
Datetime module in python,module for date and time in python,"Datetime module in python supplies classes to work with date and time. These classes provide a number of functions to deal with dates, times and time intervals. Date and datetime are an object in Python, so when you manipulate them, you are actually manipulating objects and not string or timestamps.Syntax to import datetime module in python: import datetime ",
Abstraction in python,What is abstraction in python,Abstraction is used to hide internal details and show only functionalities. Abstracting something means to give names to things so that the name captures the core of what a function or a whole program does.,
Abstraction in python,Abstraction in python,"Abstraction in Python is the process of hiding the real implementation of an application from the user and emphasizing only on usage of it. For example, consider you have bought a new electronic gadget. Along with the gadget, you get a user guide, instructing how to use the application, but this user guide has no info regarding the internal working of the gadget.",
Abstraction in python,Abstraction in python programming language,"Abstraction focuses on hiding the internal implementations of a process or method from the user. In this way, the user knows what he is doing but not how the work is being done.Through the process of abstraction in Python, a programmer can hide all the irrelevant data/process of an application in order to reduce complexity and increase efficiency.",
 break statement in python,Break statement in python,The break statement in Python terminates the current loop and resumes execution at the next statement.The most common use for break is when some external condition is triggered requiring a hasty exit from a loop. The break statement can be used in both while and for loops.The keyword break can be used to break the loop.,
 break statement in python,Syntax for break statement in python,The break statement in Python terminates the current loop and resumes execution at the next statement.The most common use for break is when some external condition is triggered requiring a hasty exit from a loop. The break statement can be used in both while and for loops.The keyword break can be used to break the loop.,
 break statement in python,What is break statement in python,The break statement in Python terminates the current loop and resumes execution at the next statement.The most common use for break is when some external condition is triggered requiring a hasty exit from a loop. The break statement can be used in both while and for loops.The keyword break can be used to break the loop.,The break statement in Python terminates the current loop and resumes execution at the next statement.The most common use for break is when some external condition is triggered requiring a hasty exit from a loop. The break statement can be used in both while and for loops.The keyword break can be used to break the loop.
continue statement in python,Continue statement in python,The continue statement in Python returns the control to the beginning of the while loop. The continue statement rejects all the remaining statements in the current iteration of the loop and moves the control back to the top of the loop. The continue statement can be used in both while and for loops. The continue keyword can be used to execute the next iteration.,
continue statement in python,Syntax for continue statement in python,The continue statement rejects all the remaining statements in the current iteration of the loop and moves the control back to the top of the loop.The continue statement can be used in both while and for loops. The continue keyword can be used to execute the next iteration.,
continue statement in python,What is continue statement in python,"The continue statement in Python returns the control to the beginning of the current loop. When encountered, the loop starts next iteration without executing the remaining statements in the current iteration. The continue statement can be used in both while and for loops.The continue keyword can be used to execute the next iteration.",
ctime() in python,ctime() in python,"Python time method ctime() converts a time expressed in seconds since the epoch to a string representing local time. If secs is not provided or None, the current time as returned by time() is used. This function is equivalent to asctime(localtime(secs)). Locale information is not used by ctime().",
ctime() in python,Explain ctime() in python,"This function returns a 24 character time string but takes seconds as argument and computes time till mentioned seconds. If no argument is passed, time is calculated till present.",
ctime() in python,What is ctime() in python datetime module,"Python time ctime () function takes a timestamp (in seconds float) into time.asctime () form. If the parameter is not given or is None, when will default time.time () as a parameter. It acts asctime (localtime (secs)).",
asctime() in python,asctime() in python,time.asctime() method of Time module is used to convert a tuple or a time.struct_time object representing a time as returned by time.gmtime() or time.localtime() method to a string of the following form: Day Mon Date Hour:Min:Sec Year For example: Thu 08 22 10:46:56 2019.,
asctime() in python,Explain asctime() in python,time.asctime() method of Time module is used to convert a tuple or a time.struct_time object representing a time as returned by time.gmtime() or time.localtime() method to a string of the following form: Day Mon Date Hour:Min:Sec Year For example: Thu 08 22 10:46:56 2019.,
asctime() in python,What is asctime() in python datetime module,time.asctime() method of Time module is used to convert a tuple or a time.struct_time object representing a time as returned by time.gmtime() or time.localtime() method to a string of the following form: Day Mon Date Hour:Min:Sec Year For example: Thu 08 22 10:46:56 2019.,
gmtime() in python,gmtime() in python,This function returns a structure with 9 values each representing a time attribute in sequence.,
gmtime() in python,Explain gmtime()in python,gmtime() method of Time module is used to convert a time expressed in seconds since the epoch to a time. struct_time object in UTC in which tm_isdst attribute is always 0. To convert the given time in seconds since the epoch to a time,
gmtime() in python,What is gmtime() in python datetime module,gmtime() method of Time module is used to convert a time expressed in seconds since the epoch to a time. struct_time object in UTC in which tm_isdst attribute is always 0. To convert the given time in seconds since the epoch to a time,
Time module in python,Explain time module in python,There is a popular time module available in Python which provides functions for working with times and for converting between representations.,
Time module in python,time module in python,"The Python time module provides many ways of representing time in code, such as objects, numbers, and strings. It also provides functionality other than representing time, like waiting during code execution and measuring the efficiency of your code.",
Time module in python,what is time() module in python,"Pythom time method time() returns the time as a floating point number expressed in seconds since the epoch, in UTC.",
